YEARS,SEAP,EEWA,AJNZ,AFRC,MDEA,LAMC,NAMC,EAAS,SOAS,EURO,WORLD,TAS
1861,297.87735228520177,269.9706317422234,294.4329549907416,296.7618257082252,295.02961268265165,294.01382222155223,272.24306991857696,278.9141716230065,294.54125702911216,281.1056611388437,285.6736047000214,286.6199796637651
1862,297.65435396461004,270.6987857518437,294.0897268452389,296.64268211534363,294.47060260851384,294.2468071309176,273.12587157823884,278.43421877387243,294.3691394673097,281.56890133904125,285.8633126575677,286.7228696180324
1863,297.84891773218425,271.1159828215668,294.49097408657633,296.4959452892834,293.91244341740423,294.59950378325306,272.98272058554596,279.1622849253156,294.6986436259394,282.16316648823795,286.0394443266544,286.7346606614379
1864,297.8179181909506,270.42700273044375,293.9401860883607,296.3985331836462,294.3032834713774,294.49743864464347,272.74632775645836,278.79403983211074,294.4280849008545,281.22157344169364,285.7500912937291,286.62521986950446
1865,297.9919553971671,270.93926443278366,293.4049175626942,296.7973066759275,293.91516844762344,294.34976974781813,272.638787901064,279.1774593212466,294.02077642036903,282.02051194909467,285.8929584245864,286.7015687274091
1866,297.95934783226073,271.13497151558335,294.54321778680674,296.8349950484649,294.24729524538185,294.63781254593425,272.9414598270706,278.9804481568912,294.64172961418245,281.2919103581529,286.08257145178356,286.85856052595955
1867,297.801484427512,271.4570386402916,293.39387831157495,296.89225845779214,294.99641449139756,294.27163075206755,272.6956532966413,278.90953233313934,294.7553451118808,281.41665445382205,286.0083242414221,286.8244363349764
1868,297.73929039192984,270.43891564903487,293.3367175857983,296.8002447538282,294.7684475961446,294.18162391060935,272.73122683318667,279.0250650284495,294.7246645936772,281.2499277214156,285.80036224583193,286.71975337247284
1869,298.07061532197633,271.3637916624148,295.24265501341023,296.6905328500088,293.8056499962504,294.6663374075256,273.01740576836175,279.0206869537654,294.05673251316585,282.0465465530221,286.1488842303033,286.86025626304473
1870,298.028562489564,271.3899653339335,293.8939477824161,296.88178643085496,294.2752100161567,294.6268815945734,272.7936033735525,279.06603104024305,294.83961343546974,282.041611095825,286.1200916360336,286.899740983779
1871,298.319563059454,271.0066596603197,293.9427708721508,296.97650339020436,293.9156149985305,294.4692956710437,272.9045889606571,278.9965465146822,294.9159701873059,281.4496155066385,286.0435501734413,286.84931094937565
1872,297.6944607552643,270.7906526378079,292.6284049658564,296.4813206040658,294.7829437728009,293.8297744513198,272.64289776319026,279.0175195731554,294.9879098919068,282.2099028680564,285.7246447983865,286.6460559536919
1873,297.65609684623644,271.6940298423918,294.3533650292887,296.41144548105456,294.6105626988698,294.4608352233423,272.74808814419663,278.49356604896434,294.56828422671333,282.1596028248805,286.0067144631696,286.7995801804883
1874,297.66326745981615,271.0259558311438,294.3915910075132,296.73597937844096,294.67212939633913,294.92164185432966,272.79779064133965,278.83556521174955,295.0287183014499,281.620806369765,286.0760267744011,286.8712865646215
1875,298.4746546566337,270.20990138106015,293.53212255732166,297.095149530139,294.31519679857416,295.2037527197603,272.82576952679915,278.6366794834792,294.65510609537864,281.4429654968183,285.99551034583686,286.87172868592756
1876,297.7079579563597,270.26166965353445,293.5251264153576,296.7636261476877,294.86765877917514,293.92273713029687,272.5718702875757,278.7396570042893,294.00336984064757,281.30779780037176,285.6645622186006,286.58549078428524
1877,297.72896642679564,270.3992952508039,293.20678296063113,296.8752210210432,294.81236101601843,294.1839183087366,272.9148081952576,278.781062216355,294.2177773391553,281.2413248487018,285.79351654758295,286.6360261940302
