YEARS,SEAP,EEWA,AJNZ,AFRC,MDEA,LAMC,NAMC,EAAS,SOAS,EURO,WORLD,TAS
2006,298.8300439525829,272.1430564355616,295.9748680659225,298.2317369425191,295.8959777269005,296.0427323767113,274.3290607748818,280.34329168404565,295.9048186422799,282.25645814295086,287.3814030432901,287.6805919782823
2007,298.92047017007314,272.6374903446203,294.78427525132605,297.8194358532395,295.5800343321662,296.21728062693313,274.39878857049104,280.09838320923745,295.79430711748597,282.49159558370195,287.3102273225674,287.70209886877285
2008,299.3009214770915,272.3159325396869,294.51114499205744,298.43244678730275,296.50350193388545,296.1811552001318,274.6002325307611,279.7780466102368,296.19677431064594,281.9570978196227,287.4190647388449,287.73606436401025
2009,298.5776715069622,271.52950466727964,293.7357152982952,297.8842929155673,295.4698036508557,295.15520094375506,274.1458085668682,280.1277618305343,295.8140942600861,282.8879399488323,286.88034969806984,287.5213632766514
2010,298.6826900126333,271.80187753390885,294.79977632962107,297.99028760580285,296.04735476056226,295.6472548101833,274.5727503643033,279.8232809242637,296.16489672316965,282.669835463049,287.1616777787017,287.63235510741674
2011,299.1538029498687,271.5488644863729,295.676539979524,297.8596399954794,296.09228072970933,296.0132795811619,274.7242838122993,280.077052794501,295.92136509296,281.8093415361527,287.2193551266289,287.68789572300517
2012,299.0331046778018,271.81636175679535,295.4045446006823,298.41224726505095,295.53366229273627,295.3441785318395,274.04507195435735,279.6464370192078,295.52172977757346,281.76399838588236,287.08102815158344,287.6803425730626
2013,298.559285273993,272.0633413352484,293.71745459578534,297.90555146268713,296.36589150340166,294.98172461962247,274.1950967904217,279.86506607679286,295.6874778844073,282.2479884895116,286.9314284393244,287.5833202890665
2014,299.0126269501981,272.50728120531915,294.87343435480074,298.397510145109,295.8658797527492,295.5204892944158,273.9029602380106,280.54325171570406,295.8969449841352,282.82482190920354,287.3089754065741,287.7750499206404
2015,299.35072131654414,272.86814418383926,295.91911064391667,298.3034547587775,295.94659118886784,295.8620982284119,273.97531930999565,280.04742437020116,295.4581418571298,283.4338252536512,287.45980564521506,287.8092034146666
2016,298.6283346637519,272.7110291657264,294.8110633802886,297.8985722394171,296.387415886431,295.43217806390015,274.76301339180947,279.72970700895655,295.27692740207596,282.89267497561525,287.26685041938435,287.70436427560065
2017,298.5888224138056,273.2448689660649,294.85056966199795,297.70027924562953,296.01551451964946,295.7810541677305,274.6091475810673,280.3305401322636,295.7448807841526,282.75564590456696,287.3867791098389,287.7206574795228
2018,299.22033003272605,273.21542311395154,295.68548158393764,298.1265209233934,296.0606751935977,296.2088755674191,274.5266159885211,280.15584396155805,295.71335787751053,282.6981372501985,287.5884706501777,287.87787794732543
2019,298.6864251950048,273.1480088982311,295.10641471020824,298.2776719843948,296.1550819998956,296.08019093839584,274.99719883171105,280.1562768571023,295.86080160186947,283.58041151360334,287.65794838362154,287.86077502857785
2020,299.26689786052594,272.6284094431636,295.585055088822,298.1668633658135,296.25431796419554,296.0373817533776,274.2318513793342,280.4457522234599,296.2395826723469,282.9916648976176,287.4887932054453,287.8565558470537
2021,299.74754735435096,272.6401458078735,295.45237113780746,298.7984034426969,295.9020668804642,296.6480542627464,274.55686572383877,280.4532815019323,296.0966374631039,282.51261344783455,287.7469886556987,287.9849219857321
2022,298.90496338871134,272.8678956979752,294.50382692722957,297.9541999196488,295.9342073964179,295.6157043470682,274.3451343030238,280.54014978644415,295.7706646822238,283.3748541879259,287.3477164616314,287.78985125362385
2023,298.94374652530587,272.8697652545803,294.9077795666001,298.42649987883897,296.10685474318126,295.8445940130135,273.8774464146949,280.09099553343344,296.5579872757723,282.5334523908491,287.4031728710435,287.84108983975153
2024,298.7914366833247,272.5360349262592,294.4626858230466,298.2665810347814,296.011298782195,295.75992178852636,274.6796591826969,280.44564319460363,295.95407484188166,282.6823179145219,287.4034024760134,287.8206597599034
2025,299.1776020920531,272.43154593377614,295.8202971327998,298.18263528596447,296.3066723999247,296.1975743431073,274.21617295247927,279.87656758603265,296.26959248481074,282.62782176862294,287.4333065272491,287.88762268915355
2026,299.9869147501747,272.34822987413827,295.67626427592234,298.86465687990295,295.8133465192445,296.37956815458904,275.0204264703356,279.95478535444545,295.7276447662751,283.3557609406914,287.7473688847201,288.0360475772331
2027,298.7606436522247,273.43271175938656,294.6730192816693,297.8945345665721,295.65259584333467,295.56005147106157,274.3708279983726,280.22584249689453,295.76913698952717,283.68388766523555,287.40344998518555,287.83947764517836
2028,299.2053144053618,272.96034276546754,295.49832379054703,298.6145507025169,295.5156069096552,296.2185588394967,274.1520178759941,280.259498313574,295.90018509104414,283.15794141423544,287.6008376910807,287.95003977063635
2029,298.7447507641428,274.1275778083539,295.4118877989775,298.0719649655259,295.83942677333124,295.77211074713705,274.27992726160886,280.7429825419272,295.28671538155976,283.7464332505558,287.65464386291245,287.97371599460007
2030,299.4283577306076,273.5944968941099,294.93468400225953,298.26516882504586,296.08865631758357,296.2568623837088,274.59066735483964,280.35752106014564,296.8616962553573,282.67262149046053,287.7196290690227,288.08821661654315
2031,299.9071912171005,273.68973157372704,296.34675066874655,298.9473315074696,296.1385864084788,296.80287673374835,273.93778630906206,280.6669596954108,296.43474959243076,282.8778937957429,287.9941263822251,288.1717134438041
2032,299.0619619727524,272.88046911320026,294.2433204482759,298.20545748103405,296.1629368735683,295.32718236620013,274.4296502275985,280.53725327590007,295.91075465062033,282.8786149573006,287.3570503088595,287.78121853393316
2033,298.87775157651055,273.31207301157605,294.1090964697233,298.0132367124655,296.4630725044245,295.5828518769633,274.4741884458819,280.8330163768892,295.6465302215612,283.5920617940682,287.47273346310817,287.8871168329696
2034,299.53935228484806,271.98915175342205,296.34151014858094,298.76058950410487,296.065936610295,296.5634056345346,274.4526429615874,280.60956350898977,296.8710681025991,282.77284626131484,287.7104649167241,288.06530073220205
2035,299.7814755521014,273.4136027496674,296.06667505709635,299.08475735507506,296.4734732044282,296.8486260788687,274.72608048198435,280.73781492091706,296.6588696734679,282.55118606608244,288.1024278896273,288.1946434075562
2036,298.91686733494424,272.8789075842854,295.0009611770567,298.26175119604596,296.7466356295524,295.75651231766176,274.55916951720144,280.8366031865245,296.58887993492857,282.79024059328054,287.56624579111616,287.8598257730195
2037,298.919347916828,272.96943107343844,295.01428362936485,298.1946427745106,296.29667040698524,295.9310483850955,273.6981673344457,280.31295196726114,296.52698701428426,283.0665084464998,287.4060730661984,287.8309787650645
2038,299.1233558513999,272.935735103347,294.8132402709989,298.3286952282674,296.1854923070158,296.3982012662168,274.03384315471317,280.79013699019,296.1032502419643,283.8893885013712,287.6056488826968,287.93174953183933
2039,299.5936971304534,272.6985770499499,295.8624575093733,298.8500556352506,296.8098585079904,295.9106195526919,274.3898423986917,280.0562611607005,295.79509844851793,282.5903643128932,287.64272451721274,287.8930822331325
2040,299.4885877247527,272.9352670005233,295.2436015891476,298.8595653815346,296.7400358501107,296.53180036324034,274.5206257520515,280.5002166198462,296.5083175625367,282.64076904353186,287.8198899279726,287.98665208851014
2041,299.8422403520761,272.3553540863995,296.3903558782142,298.82026454359783,296.4485169661949,296.97259860503056,274.9933520534645,280.5961345141199,296.87731133775725,283.0211010079949,287.9704725632557,288.1664221749056
2042,299.4951750464524,272.1001320517405,295.7858964817159,298.5395871431934,295.99748283151064,296.1544312929878,274.7190588747587,280.44508097814855,296.4891501370014,282.78599735589694,287.5924664782268,287.89755809476867
2043,298.91935838066746,272.24627391267404,294.3830488318712,298.31749461293003,296.1199612634082,295.4881015363874,274.7823489977899,280.5177464364359,295.94225988250264,283.07880071779334,287.3692100159343,287.7255380853523
2044,298.9743754043,273.4104692868936,294.9219865757986,298.3929915718956,295.9171849198063,295.8703358808138,274.81948224947024,280.84187142094794,295.7419426300109,282.9907043753383,287.68338568972047,287.87061397456927
2045,299.23218875662417,272.32169471100474,294.9657299097444,298.60873077433166,296.97517544699883,295.8608965440537,274.51383712411484,280.7275156295789,296.60679366964587,282.40581699982624,287.5549763023148,287.8989768936672
2046,298.92807143774957,273.4838293072362,295.4385325544811,298.58654316829103,296.1952816786775,296.1706849968611,274.44653914848203,280.404111197266,295.8326273878796,283.34644657558744,287.74903134495196,287.9644094004785
2047,299.6370956950481,272.8778978754521,296.18715857898536,298.8817003692843,296.65910329662563,296.917358821135,274.71976258097897,280.62917515725377,296.9917239574568,283.06978187250894,288.0146301227496,288.1476702953164
2048,299.8489021551566,273.5371766594769,294.96915147047974,298.83774986627975,295.4665539267152,296.64340269797424,274.53495520683606,280.54078810467473,296.50179945315153,283.8098379004738,287.93382356249055,288.12273835294195
2049,298.81257799545205,273.64506651780937,294.2005992666167,298.1488786386286,296.14062164995437,295.5531589094323,274.91973341014835,279.8333848884916,295.880310876528,283.0714684654056,287.51670916026154,287.944375212009
2050,298.8268040113753,273.2295606412876,294.72536821279886,298.4674576619162,296.05607788023946,295.3261608896585,274.18900959263885,280.2240386603641,296.4438984707625,282.66417317476305,287.43591788248744,287.87674993547324
2051,298.93198675600667,272.8285972886362,294.71451512119063,298.47432194619705,296.7898596378019,295.3310984923782,274.71095058533484,280.41918729439277,295.92475494783594,282.6397023679434,287.4826899416674,287.85657836614115
2052,299.1900537052769,273.941905368243,295.8804255868999,298.71498919151,296.3104390042007,295.7829169461292,274.59990251316486,280.0499345192728,296.05176409045015,283.5592875499173,287.8470431822467,288.07208175513966
2053,299.08922944723986,273.77213428007093,296.23641133885235,298.24153561255406,296.48703679526585,296.2754502629493,274.8793087551013,280.59133628492975,296.7314232637388,282.36145483675136,287.8765085038056,288.07664961075267
2054,299.4765572770784,273.761820351544,295.88659392892725,298.5964761554498,295.6640879256013,296.1557652259769,274.5232649026794,280.28211314899613,295.6410571109726,282.88248774164117,287.79655045601066,288.08078566081764
2055,298.9108816606993,273.20034796399665,295.01652712426727,298.2160425552301,296.2534758128559,295.93977373987974,274.3473329990357,280.90187273607864,296.4495030531943,282.1449098551217,287.55662400332784,287.98920864305876
2056,299.43606023085414,273.36115723778113,295.9317115304169,298.5433200763491,295.77288523533247,296.4564614861405,274.5202393694234,279.9732842211989,296.440995611275,282.8310647771741,287.77236625789146,288.111606658321
2057,299.1474123837166,272.9701064188741,296.10740411275407,298.7453722083829,296.6775347268198,295.63623200324645,274.6134180854988,280.94414529782,296.40565451652225,282.55356384432406,287.7459561835,288.0071659359387
2058,298.5321358422566,273.44267011802475,294.75299075389216,298.0974293062875,296.387564572789,295.55382986908137,274.52141644790225,279.8682909217927,295.40844100855827,282.022038785818,287.38213389431,287.8659852640026
2059,298.97789015314834,273.0669462157457,295.648708216361,298.4948705048184,295.7983949240856,295.75257031722833,274.38830579942004,280.2078602658668,296.5916300835843,282.54577991938993,287.5643601690518,287.96357895469123
2060,298.8342030933171,273.1211110976732,295.29366562554844,298.29434449666365,296.025982295713,295.6606267465231,274.7243624588435,280.21833289400564,296.3572629138789,283.106221105691,287.5653465477629,287.8865400342116
2061,298.9050371654559,271.7698162766789,295.2182892555184,297.98787812399,296.2825533976421,296.26842962878163,274.60704036635565,280.16986096749673,295.8231604115691,282.6410168790939,287.3143963979608,287.85084450913206
2062,299.82099024665916,271.7440117874287,295.6911164549178,299.0948300773034,295.6304075510488,296.4617013991989,274.94149401251906,280.46551749095727,296.76662201931373,283.6453711839349,287.7824851658089,288.02629411379246
2063,298.95072791307683,273.017682155878,294.1383987268486,297.74923065554947,296.4118314528729,295.31368143510065,274.0558356140958,280.63985628207394,295.842353274837,283.60768116377926,287.25294673780644,287.81798526133673
2064,299.153019736122,272.5678032382759,294.6622481616161,298.06864430891494,297.07592008632065,295.6973956437934,274.3238208244447,280.6461136488189,296.67477935736514,282.875449028639,287.41758922915176,287.9482266330265
2065,299.3459507823991,272.7241068394554,295.667891480989,298.3655878483207,296.61673835449454,296.08844011217536,274.93396923892936,280.2124837732434,296.3139855690703,283.04009566167434,287.6751776386876,288.04499709203685
2066,298.7283572136041,273.24019323577215,295.1466583878842,298.14109844541025,296.07517307494635,295.7636258455389,273.9781701411102,280.3570601396748,296.29241921309733,282.61702630029794,287.42475568894014,287.91368380543304
2067,299.2089164811632,273.34495934197025,294.94740678863644,298.7168030111096,296.3714400648867,295.64444764642235,274.1957898500724,280.74456104367897,296.1782308109939,282.65364025560456,287.63332575948925,287.9807828378697
2068,298.7889828549486,273.68024981543715,294.6813149608044,298.3672499757715,296.8310581732576,295.57244313524114,274.9803182749127,280.2829813217456,296.0440298964667,283.55419597877585,287.7041810070204,287.9822087467269
2069,298.97893994710955,273.33317036424575,296.4239618964007,298.66289848961986,296.3057058288462,296.30941734952387,274.1456308996825,280.5477601199233,297.0267417772333,282.7834707424283,287.8148447371514,288.1849412346134
2070,299.9073197835906,272.8441437997611,296.9205516666701,298.75587124298556,296.1471046026067,297.0407719636107,274.8978666524652,280.9038936146189,296.6953528860868,282.9252008678615,288.0694362454191,288.3909525328368
2071,300.02359245478834,273.7656677057481,294.5179400554896,299.3923498447722,296.6024018032089,296.46658431492534,274.4384934782721,280.80041712363993,296.419108783617,283.1314456877639,288.0639205712146,288.3454503340567
2072,299.1932469636797,273.96441534079116,293.22279362424337,297.96835234169697,295.64653937391233,295.3530732866152,274.3168551723283,280.4691961584263,295.7668469396733,282.7561471108353,287.37175225044217,287.9537707094121
2073,299.11409097068434,273.29992549136045,295.0443603864462,298.2036770076644,296.416685559133,295.693149445798,274.51326718856,280.36989249187553,295.87653739398456,282.6904912073971,287.53215876457847,288.06398543606025
2074,299.57140094618893,271.71540548921627,295.6613773270519,298.4301936237146,296.44772117468494,296.55932904623467,274.9731247642396,280.3374415052472,296.06999068085634,281.74162564024965,287.5494573685501,288.04992507942444
