YEARS,SEAP,EEWA,AJNZ,AFRC,MDEA,LAMC,NAMC,EAAS,SOAS,EURO,WORLD,TAS
1861,298.41911039538934,271.38245877137086,293.736568239503,297.3603678727526,295.3456940361948,295.2933257081689,273.5368780631778,279.903767492299,295.4470039668273,281.42340228305017,286.55693346519325,287.1134345692526
1862,298.11965144142175,272.2257095113539,293.4972438030272,297.14680567001517,294.8376309401726,294.8650927376292,273.3422055409206,279.81930864300534,295.6649500777986,282.2123658933334,286.54032469342985,287.0048024110768
1863,297.9728385964392,271.34686825883534,292.71149435223344,296.65930157374174,294.4308099994437,294.6592943465534,272.6770212806881,279.3526807089608,295.0604670817711,281.56246875328634,285.99148137366944,286.7778279676516
1864,297.98021839240045,271.0799697742533,293.2993043891007,296.7946810404601,294.7788537150241,294.5135321670124,272.8710020317814,279.1879952200726,294.74940535640684,281.67353670485727,286.0163856000331,286.8020747823195
1865,298.25397888550526,270.76562586734593,293.2817785937744,296.6655840434936,294.68651096001526,294.8640778484098,273.32846243167376,279.60274893676427,295.08518093519046,280.5766141139945,286.0670530014265,286.72488317652665
1866,298.2719905620868,270.6873184447043,293.7774858352445,296.79791972535804,294.4576117662218,294.8302486926238,273.42468549509624,279.2209319438426,294.69046939195067,281.8187044582635,286.1242030094814,286.88186807497004
1867,298.28715170179106,270.8102062480621,293.6442082519926,297.1391304883389,295.2179252437049,295.0049850656525,273.2323175424407,279.74301993635555,295.2402113799051,281.3960886118877,286.28409837722165,286.92959893127716
1868,298.3183132698619,271.5561776374291,293.9199640237185,297.1505716762118,295.27482235272083,294.8289346928195,272.81018024656936,279.7973564002911,294.9234921993953,282.07244769842544,286.35718216745863,286.99515883595205
1869,298.3655078547802,271.3178249524246,293.588335536579,297.5978071833282,295.437397625495,295.0366542875465,272.8121959921483,279.5981716802961,295.5653380645082,281.6003673015976,286.42466926944945,287.0579792271959
1870,298.3617078088382,271.6741935397846,293.1778010296009,297.30178876304996,295.67873196203834,294.8863315305661,273.135729830115,280.0951108954341,295.47777378587284,281.814805581536,286.4758995603126,287.0647413065294
1871,298.4919767641226,270.6369954270107,293.7282542539395,297.16459949720644,295.3824969918257,295.10834354948474,273.39345211815737,279.5509508475975,295.06947793204085,281.803327999371,286.3173906990252,287.04026637764497
1872,298.4593596111524,269.9152949052714,293.9546262926649,297.23132035625923,295.28278828722944,294.9027628226622,272.9287975070822,279.77797778313277,295.57497997188125,280.8856968724312,286.1167485998437,286.9063642850522
1873,298.2102252167344,271.67416563267454,293.60956670350294,296.7275288394355,294.733643039851,294.70406469519554,272.6588143879188,279.9620160142616,295.01153609424745,281.8036775227978,286.19991045976604,286.89649756195604
1874,298.2316890439059,271.061638414383,294.61470952718196,296.55107918995265,294.88022306520867,294.6330544274003,272.2844409229512,279.56209787422085,294.6058543058666,281.3532905111176,285.9913163725088,286.7660442846477
1875,298.1352594176865,270.19205123405897,293.9527764875063,296.8071069414243,294.76407504955347,294.561759129737,271.8074521765735,279.39789363050426,295.0088968004894,281.0321049835124,285.75877234485694,286.6925552534628
1876,298.07351282544255,270.48668945248875,293.60698701957637,296.6562585936683,294.3979301842151,294.72376239284023,272.4202490619448,278.7330927701939,294.2532516136728,280.52466803435925,285.7507636886017,286.6921980194793
1877,298.16681652210303,270.5298948506322,293.95300493506335,297.0752733467044,294.87437445309484,294.60718398422074,272.06471697020964,279.55008110638397,295.2225921860869,281.22811387674307,285.95612175543937,286.82653089983444
1878,298.32637986359464,271.00763879952626,293.7001567687072,297.23089004720487,294.7698541784033,295.03605306850346,272.21947828514556,279.4862166557965,295.0661890074174,280.96480263814834,286.12218009765644,286.9176267022884
1879,298.4163005882118,270.49641808442607,293.3304722796375,297.3108224918275,294.8123045679364,295.13012310729994,273.2400762573592,279.1545865724884,295.536894545044,281.10830937221823,286.21085182653735,286.915419360605
1880,298.3867219968134,270.0330158845769,293.6905809378111,296.8979169111918,294.90635500728064,294.62161406655053,272.66081538666526,279.7240858102166,295.14600904643186,281.6614461038359,285.9556868509693,286.7263862935126
1881,298.09368084784455,271.5646004310447,293.21697108136965,296.7492445554115,294.60520257500883,294.40266519205977,272.5427159711373,279.7406011531144,294.4788403831419,281.8971038157901,286.0544236478683,286.8317765867726
1882,298.23306341923535,270.673311691062,293.9715767900196,297.1698472188818,294.63478446053983,294.9051162235131,272.71936448502163,279.5496269597088,294.69124604135226,281.80647361303716,286.1493372562264,286.948393250572
1883,298.52288245081945,270.54690227473054,294.34954489211725,297.2056873094938,294.97872025517273,295.0158143630151,273.1552860817336,279.70152047723695,295.36718296795317,281.60906719714654,286.29960218665065,287.0450464219592
1884,298.13319772116404,271.0137427320473,292.7267574977151,296.6398531888708,294.4987767575064,294.3809020896389,272.95384237587217,279.27911146385577,294.5290509135929,281.27328903431504,285.90495294228464,286.71512905745413
1885,297.9887218834823,271.27896229337387,292.9348801035461,296.7014397604696,294.77166003532,294.4826911153169,271.94900270169035,279.40619081546157,294.6452326109321,280.95943234034377,285.83786661735377,286.67988375536515
1886,297.9532031357807,270.77801534243343,293.291739248818,296.57740970746073,294.5381205492549,294.3432113203134,271.3532423856174,279.5488112633088,294.5866778967945,281.4210171982596,285.6547480825934,286.5619007232411
