YEARS,SEAP,EEWA,AJNZ,AFRC,MDEA,LAMC,NAMC,EAAS,SOAS,EURO,WORLD,TAS
2006,298.8321156990376,271.6764437982357,293.94196174019436,297.964119190853,295.65052303610287,295.46798091895647,273.86985436933264,280.0389968451341,295.72425760716527,282.433503499031,286.9248728569949,287.6643535916766
2007,299.0775905383718,272.62957897401975,294.6435220180681,297.93551838142156,296.03009669617745,295.58976731509495,273.9878998404614,279.82376382350236,296.0366039176166,283.0075935387385,287.1972247934071,287.7892398160786
2008,299.19679814856426,272.63737407839403,294.9069315295345,298.2548409142553,296.023252875161,295.8806645409126,274.2792185752491,280.1664901451837,295.55926828452704,282.9778703660151,287.39033850094523,287.85123021839297
2009,299.07518857679764,272.0394963145061,294.3947928470212,298.6826909116055,296.2061857099554,295.49805251592494,275.4461676605702,279.66429668229216,296.4139387187194,281.9952020072594,287.432733326271,287.9052174067078
2010,298.9456952789954,272.2115810777752,294.8863274507852,298.30375277250965,295.65896074680484,295.7730842323069,274.711943935545,279.7916438357245,296.38954247664617,282.3704990833093,287.3326616646741,287.9174265575565
2011,299.1163504607118,272.1229026836283,293.8319541811243,298.1736175554833,296.04604046958116,295.60761381549264,274.7406685273463,279.83068534147384,295.9690784866591,282.42505197550366,287.2139142412787,287.8666502359095
2012,299.52605180598886,273.10653243388236,295.5964494786267,298.29009416367813,295.93586593803605,295.88335248676464,275.19743067968875,279.82939779570324,295.63444285901517,283.1362884044405,287.6536692860372,288.01658152931185
2013,299.4909325884696,273.22970343592453,295.252232120227,298.5551860606226,295.98190023659964,295.8887926663852,274.65777547725736,280.30617748297027,295.83681611101974,283.382310614255,287.6856693920244,288.0257369739295
2014,299.3373901578975,273.40184930629596,294.99385781692627,298.57401876863116,296.1018570223955,295.87758823195276,274.87906131238805,280.6452249705093,296.3422132955015,283.1471097682358,287.77104890143966,288.0589085935117
2015,299.3265367315505,272.92946195827386,294.53902219470143,298.39900651319005,296.02398536535117,295.7366794616218,274.77920574583584,280.3003338482254,296.1997081061592,282.9252920680333,287.54214147974255,287.9968828872253
2016,299.2641915328197,272.73065971472886,294.59912606481953,298.41655073544666,296.00491641743724,295.6372299647326,275.469509047626,280.3668468219593,296.3983001370815,282.707201620259,287.61185805203166,287.9991252691882
2017,298.9097811297798,274.0609281927628,295.14543459901176,297.8592298714211,295.87415778136943,295.6129720294494,274.85247001851144,280.40277394537645,296.14162461174857,283.1323779089567,287.6302726139246,287.99594725890466
2018,299.0250027853465,273.5373027274899,294.70069754806866,298.4054967693163,296.15039605768237,295.978886031078,275.0617612854547,280.30386380129517,296.22512473777675,282.91052802337265,287.7285910607177,288.1447125925432
2019,299.33246642482175,273.79331335986285,295.05531701575507,298.44715354251554,296.54847224091736,295.9140650078015,275.1362753088844,280.8127061213415,295.6661795695097,283.75223944895316,287.8885589961179,288.08881170548136
2020,298.8254715247938,273.5519599060314,294.69946814961236,297.8385522471272,296.0364046734244,295.5943794622812,275.17855382494685,280.42636571546683,295.57974704468637,283.01584867657743,287.54264456647724,287.9815787911106
2021,299.14076325438623,273.1778664737096,294.8019128721419,298.42248120783967,296.57394049576584,295.8945591585162,274.9971072847776,280.78472670150467,296.0728701413259,283.3755870819623,287.732386688189,288.0890602000209
2022,299.62878149801276,273.4912263727389,295.24917263840183,298.77205846269925,296.57793778268353,296.26471378366415,275.1749172570395,280.7050619506854,296.28749689683764,283.5009206663628,287.9992653224012,288.232067944824
2023,299.5211564515994,273.91272644517846,295.67401965664334,298.64389753046913,296.3138910363795,296.17051982070666,275.18976135261056,281.2154679921447,295.91921179321554,283.72213718784195,288.0778935492041,288.2603062414884
2024,299.4340498821527,274.7162316359259,295.37670011552177,298.3878671097725,296.20232680471497,295.8195215376308,274.83298792067524,281.43785706023914,296.072500699039,284.48952319023834,288.0732701229629,288.26862241647603
2025,299.31863776258336,273.91132053609675,295.0806133920909,298.69095082286225,296.33805175649485,295.7638293533894,275.27539762309465,280.11832775697656,296.2074076525669,283.5239140702453,287.90672186408483,288.25581291342934
2026,299.35627879225774,273.8107874730791,295.2222785647808,298.18726541611335,296.25749990032256,295.80325455849635,275.03126917368473,281.57655672240963,296.26467640547435,284.1169960191719,287.90196757513706,288.350712451188
2027,299.8017813611876,273.62314651154014,295.5098336664328,299.15236821642645,297.3847331260185,296.5088175309778,275.6077022803742,281.101947791253,296.4299152615089,283.46650175155713,288.3022323448592,288.47386427392263
2028,299.68874528397436,274.04187242953145,295.2407362165872,299.0060611512767,296.7080493606422,296.3859549941869,275.9841152712671,281.206402429808,296.19708275856885,283.1800669307497,288.31893546932355,288.4361522547365
