YEARS,SEAP,EEWA,AJNZ,AFRC,MDEA,LAMC,NAMC,EAAS,SOAS,EURO,WORLD,TAS
1861,297.43953724374944,270.96856439445304,293.1418515813686,296.23485062384174,293.64182730560015,293.8866122229873,272.33076752376496,278.0988946477721,293.5175391666792,281.3205410580854,285.4655766200411,286.3646468954649
1862,297.4142340368636,270.1583632681712,292.9154038432892,296.2943423194227,294.0888188464534,293.96833182702204,271.9330664627118,277.4069898248147,293.7978555023698,279.6380472434016,285.17798672709574,286.2910408619882
1863,297.387995352534,270.47587598505373,292.5571382980165,296.09584588181906,294.0223023495209,293.86928867302646,271.49269607920536,277.7217156955117,293.292605439021,280.6694543072005,285.1270441766946,286.27846882948967
1864,297.4130283490135,270.57820158140566,292.87755308107324,296.4120193550921,293.61332458118005,294.0762069737135,272.5489333632768,278.3570200324136,293.7463078229877,279.9085168987339,285.4550103069973,286.4215453740961
1865,297.5279332190858,270.5558392278117,293.3997256842696,296.5944472252003,294.3003783194443,294.2719691537519,272.5757419731113,278.2442299288155,294.00798240016553,280.4784448643186,285.6148365581636,286.55416173582785
1866,297.69779012474476,270.7254575855908,293.3766959517379,296.2689143049579,293.8114388857106,294.00972114929664,272.1372904311412,278.1283027281027,293.5364987695188,282.0040226798314,285.4855651700536,286.4274243716059
1867,297.50387786744795,270.05565552753535,293.2283911327137,295.9176801204029,293.7086763062251,293.7593880350323,272.4095583414393,278.4111582512841,293.8888794568932,280.2663151151596,285.24330428893006,286.24127273916923
1868,297.5616618575735,270.5080330597734,292.8273786871097,296.2054392955501,294.27907184011707,293.93027893725906,271.80051993926753,278.21122743318824,293.315985705199,280.60323718649835,285.2867920066441,286.24225332784266
1869,297.6175095392662,270.0425885242651,293.2421821767982,296.4005793858042,294.5098616361943,294.0235351730959,272.55118765520785,277.47705306698094,293.41286931172317,279.472108905223,285.3173417788735,286.3821641231818
1870,297.84634815859647,269.4984132349214,293.5594411391601,296.43610092994277,294.05377986969864,294.2207471841938,272.06413955062396,278.14642158990796,294.20128643222915,279.4760182743357,285.2860441929918,286.3592112343937
1871,297.7158332262712,270.263631037925,293.5430287150709,296.55653441622667,294.52769742883356,294.17649864192015,272.65882404242706,278.3041035863562,293.9825853794939,280.12484706490574,285.5705866456451,286.4258706398894
1872,297.6896928185223,270.2368974553882,293.01640639471316,296.4512908237074,294.1483854609701,293.9534643108893,271.2559450026429,279.0150734385355,294.2290884901856,281.17432371225726,285.3528145212083,286.33060898329546
1873,297.7502032798114,269.80425416143333,292.9344732255131,296.32653520934315,293.88239589594383,293.9720274252329,272.4531079879523,278.4953517883678,293.46730628796115,281.28609121223684,285.36646071255353,286.46134981551984
1874,297.8115423183971,270.1329668327197,293.1917889042118,296.5268177427328,294.00335172556265,294.2406386381432,272.45219742990463,278.09956509318584,293.81318529012987,280.6350439460869,285.480134814489,286.4962198604554
1875,297.9799162192847,270.63152284718086,293.6199260791493,296.7964788894979,294.13084103660583,294.5001850120446,271.4639421356119,278.63868837151773,294.12161187038413,281.01540667810747,285.61594606892936,286.60078816053704
1876,297.6108242207356,270.2043486463156,293.20836589480234,296.410360948621,294.07733315786646,294.1707246551797,272.49600028781725,278.05380642333535,293.24725701869255,280.8485880067787,285.4426414532376,286.4096651696235
1877,297.649045217898,270.6804643371141,293.1544102968691,296.3021577023458,294.584587814945,293.88416693301224,272.2945734952021,278.92983963966594,294.1360298521567,281.3399916043706,285.5659221925132,286.44796129997655
1878,297.5584059574689,270.92676828824966,293.0687809248559,296.3941297845596,294.08946032381493,294.1098861885092,271.7296897733568,279.1001868682626,293.97433432303507,281.1616813431041,285.54430247226315,286.4404910679388
1879,297.51076859861513,270.34798491755214,293.33869567685775,296.1246342010802,293.83395966479196,294.00789947438886,272.33889193235444,277.66138670567557,293.253313535198,281.25886451993614,285.3328328503848,286.27385157399783
1880,297.6012091699168,270.7135335758284,293.2735339142249,296.6046437425789,294.4150174933801,294.04535488149423,272.1260609806021,278.5698074206444,293.89465189921015,280.559293431387,285.56279987794767,286.40240738932675
1881,297.92409440848064,270.45389363377876,293.29709198044156,296.6825415353041,294.36489393234604,294.51497055085196,272.56676949995904,278.3839494612123,294.1375930259459,280.7232012233898,285.6916768861295,286.5950663923762
1882,297.85578135046256,269.56047492111054,293.35352067052,296.72033580125435,294.3360916881708,294.3656841418653,272.2034291621124,279.0624500574886,294.60355826317516,279.7213140758364,285.5045637430852,286.4349162099271
1883,297.57150823692166,270.5523526320331,293.3066476851374,296.1598471114419,293.9008356294605,293.851411177869,271.63096953955124,278.6092845143346,294.1054974398852,280.87588931743403,285.33533503618406,286.2795007950339
1884,297.3644128789295,269.40203081032934,292.44911814834234,295.48709254231187,293.0786202139725,293.40882820128775,271.19876966304776,277.1265922321935,293.29884318483147,280.45481627867395,284.59644344264655,285.9340535140584
1885,297.02484978709384,270.62788934978664,292.2813124367009,295.8151099184747,293.61941120813293,293.4481515043401,272.4932683374576,277.54144363335763,293.107826613347,280.4152475326044,285.10370496568896,286.0266924739499
1886,297.2955669611571,270.4428992669939,292.64896979463947,296.0757697656872,294.07669046210935,293.55287186150014,271.89788381424626,277.7916123736557,293.33488349514755,280.54537417912917,285.1393257951022,286.1575189718494
1887,297.22663940463065,270.5191639396895,292.88656590335586,296.0729479898922,293.8397245823954,293.7230130126546,272.1649768483011,277.64252572778787,293.2561013211658,280.2199570728976,285.192819270416,286.1382383214654
1888,297.5024818889722,269.9648868993897,293.0015255196587,296.2455696716724,293.85005336665995,293.77508626983047,272.3624897567057,278.2155776562342,293.81164533257544,280.601790045279,285.2835133660751,286.2211959319585
1889,297.3679052186883,269.7637412150344,292.7590770783205,295.88457548419416,293.58517475958683,293.82537696952386,272.3457617842224,277.0631658608314,292.8524668127489,279.7029518819703,284.9733148851486,286.07288300837655
1890,297.15800320747877,270.83201569333175,292.61225850958516,296.03913550582354,293.9457033031519,293.75186902875305,271.8255072362923,277.55820299649446,293.1039175548976,280.2802963115098,285.16127237840686,286.12490829057305
1891,297.5114087758822,269.81057020431655,292.7967686179499,296.36256832206044,293.81569404825933,294.0921577729907,272.11600131455344,277.55951237936586,293.68905447154225,279.6273612959223,285.17833176076743,286.1732784750581
1892,297.5472817630132,270.33594403261367,293.34639739440433,296.23207166682266,293.7715083494194,293.9557736353162,272.254561866768,278.3016715215738,293.8483824543578,280.7340517908036,285.3858841869065,286.2770978279257
1893,297.3736815212997,270.18284735843815,292.67677860731743,296.1077717305074,294.0752849987928,294.0143869900635,271.89110341078015,278.10099590823336,293.8217274048617,280.63587082484617,285.2261701826741,286.19826143231455
1894,297.5356031515989,270.1921320559146,293.24644353564196,296.1516427945622,293.44074888668825,293.958142044675,272.2826096604438,277.9560292487989,293.2366226206648,280.71023833610434,285.277019444385,286.17007068581273
