YEARS,SEAP,EEWA,AJNZ,AFRC,MDEA,LAMC,NAMC,EAAS,SOAS,EURO,WORLD,TAS
2006,298.88818321539037,272.3262504478872,294.9444015723783,297.91602641564594,295.6359479773146,295.5051791653303,274.40317196715284,279.42421039320556,295.4425241101112,283.0629202472308,287.1394817801191,287.6415840078691
2007,298.88497493734303,272.1435114361636,294.8361663542063,297.8944395730761,295.65304566670943,295.5227471137726,273.49946197414187,279.62069537763864,295.6099391835488,283.01069792606336,286.97883598938085,287.5865643766228
2008,299.0036519861773,271.67726682845637,294.60588158408973,298.0979486489314,295.97370746299055,295.5637698220802,274.66490683391214,279.40156326877093,295.9738764644169,282.288648663392,287.1053087960537,287.6489898665346
2009,299.21228919792617,271.83111238727514,295.0981439924499,298.62716757044154,296.39804809944917,295.87696445054564,273.9954244817229,280.0373873033221,296.1765382223305,282.8772089254168,287.3317529343972,287.82939683103484
2010,298.96761132476547,271.8085238452134,294.78673910287426,297.895346625507,295.82728148460984,295.4488637164388,274.4069886274298,279.7666970035476,295.59212556013745,282.96346458557974,287.0729116589818,287.7375405252842
2011,298.6859917832527,272.1595473136433,294.40566372340146,298.2464184461166,295.8255448546164,295.47596057981275,273.91883174543443,280.0192901896576,295.7680306139609,281.5870209795595,287.06882922335126,287.7544791028375
2012,299.0487865282829,272.66156566408785,294.6202124696909,297.9771225360492,296.257549468257,295.75839187927835,274.3304393672204,280.27195895031,295.7787862892226,283.6193636764348,287.35235548089923,287.8384418904811
2013,299.07065057049454,272.9931699150392,295.1686632786389,298.3169003964353,295.8551383886386,295.8053222313681,273.50867758387824,280.14063764025616,295.7592358724069,283.4699001333187,287.3607325890124,287.89317444580246
2014,299.0558217222489,272.5765735601596,294.6063471727002,298.3200608662631,296.0272760764756,295.8434578650311,274.2607947365059,280.57753301943694,296.0554069579163,283.6389775941096,287.4444501331061,287.88466321108837
2015,299.165715681905,273.189949797684,294.7514923050804,298.1928158054579,296.33409589519715,295.6205210569217,274.07980800565275,280.5503072066968,296.00964096494613,283.15483430978935,287.4530198025061,287.8975207584042
2016,299.1535080995368,272.86802747117656,294.817247213936,298.2669504175182,295.8492359673141,295.8354445488604,275.2884871355064,280.06510560961846,295.52872045854554,282.55259091849086,287.54127481253147,288.0222200463559
2017,299.1030191157849,273.77280632312613,295.0186471242456,298.34781272779065,296.35030397198926,296.1305304994239,274.6218631632461,280.59694512346,296.42246625819513,282.7343672358775,287.7621785627034,288.09460589525224
2018,299.3331832356847,274.4002657009663,295.3319720197094,298.20364457430355,296.13299322118036,296.07569255590187,274.77317278041903,280.5378465528925,296.3653988348503,283.8496626965156,287.9090117424629,288.20149990888314
2019,299.1261504186556,273.0968892719977,294.9175558387704,298.22770584871336,296.2999986208398,295.98165043458863,274.7646850900758,280.74748175826545,296.1914216698258,282.6489552869069,287.6178765336782,287.9642571630577
2020,299.22167619646,272.4115666452196,294.4248296011125,298.2592116432295,295.9186433167445,295.8741349813279,274.6353749085502,280.39133264867627,296.21488435489374,283.1171583677911,287.42625300093545,287.9077195169702
2021,299.13014084905774,273.6929384434786,294.5633165851461,298.36180947035916,296.1040370144036,295.6461911856305,274.62982620520694,280.85975689125075,296.19085409374827,283.53199462350875,287.6908654423651,288.0026404217994
2022,299.2788268174479,273.3230419897281,294.8290272615956,298.62241321453536,296.7663006037306,296.2235697348478,274.48801503447265,280.5863221539128,296.2553742233421,282.75655983178945,287.7479491289237,288.23031508029715
2023,299.5716315907053,273.4461731868557,295.5380823531251,298.7844342351741,297.024245061755,296.3888446810112,274.94419081671435,281.17711585641183,296.8961636070272,283.58127883114565,288.0759583908657,288.3414198715897
2024,299.4848260840485,272.93834475064057,295.20330213340833,298.5735804200233,296.2532073352816,296.1365255319671,274.7093610425898,280.7048647126225,296.4413225615742,283.5133586735307,287.7572004970744,288.2447847476748
2025,299.564486751933,272.4223580326819,294.8724290710043,299.02812633179246,296.62962167488496,296.12346791857635,274.80579298106386,280.58301529712435,296.492871449996,282.64960194927164,287.7389925422008,288.2049170455417
2026,299.3169893870011,273.22483842177917,295.0500379530624,298.6281888691691,296.289589732756,296.1747991042867,274.4195171404978,281.17117567423617,296.753402266412,283.5599079173507,287.814363658678,288.22409651975835
2027,299.56017255726215,273.6981699337672,295.07118440439655,298.9172421264548,296.87459279069554,296.38373836216584,274.6732554662411,281.2239942642158,296.70408948637316,284.18126386710645,288.09073510255314,288.3512200713615
2028,299.4390904370645,273.7270605229527,295.22368652615086,298.50764541084584,296.189780091572,296.1687812197025,275.1837433192506,280.5349807134636,295.93882842001955,283.74466952269904,287.9250553201139,288.183225545826
2029,299.48062720037706,272.79496792462896,295.188872916922,298.7521903053118,296.58664143890627,296.14981251703523,275.0056139788606,280.7326835362727,296.74646833414556,283.1062724805933,287.83047372366025,288.203971852757
2030,299.4589330518371,273.4617202913317,295.27565673072695,298.73728675653246,296.5451929971173,296.08989097405106,274.8430349947469,280.7629914569945,295.9564740139853,284.08519496249926,287.91948175579086,288.21248998382595
2031,299.52873449809715,273.19864080085785,295.01095769413723,298.54835439346346,296.57518424683263,296.3723528621683,274.8245483378862,280.2075742966047,296.0083638951993,283.0610023261153,287.7727437370942,288.2863227063229
2032,299.5511032264825,274.1216926320362,295.0707936368536,298.9366396788357,296.70069367050303,296.6168828840478,275.2138896947115,280.76050718526,296.70519949162133,283.33545030152004,288.20253011834427,288.3801971956532
2033,299.660885730028,274.0646398617226,295.62014760733337,299.08184931985915,296.7348321561984,296.5426086451341,275.46503483203713,281.29902051623236,297.02174296596013,283.6158575622544,288.36273959062663,288.4324252646581
2034,299.5465325260195,272.38275337564215,295.6285738802308,298.53401664073226,296.3805358746453,296.2995469056387,275.2707421226107,280.79556184449433,296.3679049132635,282.9721231587501,287.78638300447096,288.18017106983956
2035,299.4615421234018,272.7145589535261,295.0568422714104,298.5241857713643,296.3374238511155,296.1807735238254,274.91667997798004,280.6304590566039,296.14609825904245,282.7113320747453,287.690196225541,288.14656746907633
2036,299.4683045656002,273.85199040944235,295.00150469324,298.6664817235868,296.66982256295245,296.183410315553,274.33391834399634,281.38797478795647,296.54534663240196,284.31125226063654,287.97320146146285,288.2750547105273
2037,299.3292365430254,272.85568206378304,294.73464817259656,298.5916983758515,296.3615711235856,296.0053735780437,274.7479516404627,280.57558807180845,296.01264303189447,283.25117116696714,287.66476049946544,288.14796580484693
2038,299.6044859958834,273.8895683868976,295.6966138589381,298.99858354511804,296.52329082879356,296.3958242743407,275.5115174128194,280.91009142757616,296.1056057511151,282.9755754809326,288.20022075899226,288.45443907976914
2039,300.0506382356852,274.050582884472,295.327370012037,299.2989918720606,296.6689269561596,296.7271007498001,276.3075920389451,280.5558448728712,296.09644099172004,283.624936939747,288.46783197193434,288.68171556584343
2040,299.7429849607253,273.8519209618888,295.14273151993433,299.1724276447068,296.8986473811625,296.5578784467686,275.32004124434656,281.2556469884264,296.6867298689777,283.63363478808503,288.2919897143196,288.48854326620324
2041,299.46833388611765,274.0544829128767,295.89243186131733,298.6696259460169,296.75656338934,296.3404376459037,274.51802813591047,280.9250901419153,296.376680840727,284.21797569827885,288.06971421265496,288.43340651352605
2042,299.73327311168924,274.28721880136754,295.44572706825306,298.87437911898945,297.33516476365867,296.5663301677019,274.56928511856654,281.6231898956172,296.937279808776,282.94022670943474,288.22386821446787,288.4720017996911
2043,299.7336099029976,273.84543078141803,295.39167902502885,298.9217595437598,296.8709291092801,296.384971992774,275.57872440500773,280.97018219158974,296.6861206188716,283.60962541766094,288.23856528343873,288.4635531567283
2044,299.7342390535391,274.0129121657008,295.5029418885031,298.882486575445,296.95469775975533,296.3527897976015,274.94590819204444,281.15351687492245,296.9843135764628,284.09105008023573,288.20974617195463,288.46067097440215
2045,299.63329515147785,274.0958727256767,295.0461439836611,298.7528876241982,296.98961895796185,296.2564360832794,275.45022840902294,281.2711178144261,296.4165793640593,283.93751572802523,288.21029591179934,288.4886691749191
2046,299.8474599769817,273.69378904041577,295.19252865169705,299.0598424624045,296.7683701992079,296.5992837284151,275.38532873670255,280.83628430278907,296.41252678902305,284.08250000077857,288.23398535279586,288.54762142434004
2047,299.52382052946086,273.71493220113393,295.34772402115806,298.6158671283006,296.193092559908,296.3000212185545,275.4520348570162,280.8586065928822,296.5569110696078,283.9493059232727,288.0799135979992,288.39887525438564
2048,299.6886788057849,273.5674418747814,295.47174567328574,299.32303238558745,297.86033606869444,296.68683111131907,274.701161836775,281.1960027694936,297.1198337714002,282.50968801191857,288.2188278513391,288.5068691462127
2049,299.9509401066984,274.526382071356,295.53105657138815,298.74668732278167,296.6593681206598,296.335208328496,274.7636573253284,281.6362188559983,296.4046892411034,285.3053889842247,288.30147837000015,288.58499563850546
2050,299.55332784153643,274.5006298539992,295.47586604596614,298.75997884030687,296.7675319595821,296.3380632542979,275.1000363382209,281.54413112274915,296.80438211397586,284.2004824381857,288.2989101181734,288.5268082446588
2051,299.63837331859844,273.2894832206886,295.2728029121142,298.74857321581175,297.124149696704,296.1479181466355,274.9335855012611,281.5358228043556,296.9870252590749,284.052130406863,288.0476914214389,288.3855055535142
2052,299.70781770506557,272.7361106032194,295.6097059743089,299.03594439830863,297.0496980213781,296.59491320058686,275.154952528711,280.97071403416834,296.86179643913573,283.3461412475204,288.06307863902686,288.5515679963041
2053,299.88516129518234,273.4931705578531,295.2266487120262,298.91563720146905,296.4923826536887,296.51180113614174,274.9756214971651,281.7393178053104,296.90936267779625,283.67358641006814,288.15994119708637,288.52823376115003
2054,299.70558780411517,274.0467670896797,295.3977737374469,299.1452327312828,296.9655897926394,296.4722141397472,275.4387791632948,281.48451550945225,297.18530602252287,284.26111448876344,288.40562746268847,288.6749008582202
2055,299.9357676926771,273.66029090548074,295.37558775542004,299.06587633929735,297.1798436910902,296.7780408447347,275.06066501739764,281.2414500930103,297.0707167031033,283.859650403509,288.28514259004896,288.61612040633713
2056,299.7822802951225,274.13156480557035,295.2916502242354,298.84275455364127,296.90443924028637,296.3597096180463,275.5186973440291,280.46992104253445,296.06889540567613,283.71867265314023,288.1908627945685,288.45778879422994
