YEARS,SEAP,EEWA,AJNZ,AFRC,MDEA,LAMC,NAMC,EAAS,SOAS,EURO,WORLD,TAS
1861,298.24865457924875,270.3455277100513,293.9344455178906,297.1085075246549,295.17912067200945,294.5634501178285,272.7572627594993,279.7506057812337,295.3016756580878,281.43305378235436,286.0786796817646,286.82428540164454
1862,298.3535347730687,271.1681008812439,293.5392213346463,297.10322114645686,294.76138270272605,294.958340425462,272.90326752753856,279.3992835588488,294.73729869272995,281.5863335412146,286.21427273397893,286.88807621187914
1863,298.5352010163745,271.2444043072398,294.1129044166955,297.18497067619006,294.7688416013707,294.96035058188585,273.2425081764783,279.5988577430945,294.8876890034935,281.7365115627123,286.3705413482701,286.9549805532039
1864,298.21918963323,270.48086212148917,293.16220053320137,296.6924937234258,294.4102676538755,294.4247996470703,272.8948542317981,279.3273570182236,294.7823692439781,282.0462759718298,285.90148689683906,286.72168722478165
1865,298.11588589160897,270.721737708844,293.05817171596715,296.55055734889925,294.4830204179466,294.2175662270481,272.158614833226,279.5029784617,294.51405142907237,281.9216055475071,285.75249490037714,286.66037001458864
1866,298.0123408841563,270.68060313637443,293.5069308130293,296.6299383874756,294.47999840911166,294.1938976008094,273.1516738327356,279.58319841647995,294.6679960703377,282.1041269599201,285.9614097722239,286.7525148003902
1867,298.30159918694955,270.82235158226587,293.319965294521,297.00244034437503,294.66268212785786,294.65115322920434,272.7082100725378,279.40933324323476,294.7631081558614,281.56832033945864,286.0393057017469,286.84367541632463
1868,298.4498950910013,270.8292649328718,294.12949574644193,297.4613530683084,294.87110350478605,295.0141984646822,273.63290636164845,279.42627636403483,295.37047329459773,281.69749132098974,286.4385354249627,287.01935022848977
1869,298.5270718698786,271.3952722660266,294.0668659634339,297.14709522907197,294.69392107638464,294.8850318993536,273.209007032346,280.2069541122317,294.61919880003103,282.3097707610634,286.4294907748459,287.02429025033837
1870,298.15590059758875,271.7472370931001,293.5572004561494,296.85825966970253,294.7530475037933,294.49129373993634,272.6464494781658,279.6366698601653,294.21332630476564,281.69440587971485,286.1401673924512,286.8421328038323
1871,298.2880142161722,271.7603095172263,293.94689458719097,296.9042845904463,294.2222468897776,294.5637002562605,272.4615098089833,279.97814360379147,294.72426621552773,281.90265839444993,286.19987719263065,286.92473513536834
1872,298.6866796679515,271.2133649738894,293.95364683305405,297.4892530332546,294.8238490408121,294.9559894550905,273.5014969254067,279.200244198552,294.6604751946873,281.998000406766,286.44130418117817,287.0844694638794
1873,298.6736651488369,271.15481088653934,293.94718055871795,297.61668286675194,295.35357421404683,295.14522308374217,273.0938239673586,279.77478579236384,295.5291991832882,281.52476461872635,286.5040998881675,287.0335227793873
1874,298.1803072416169,271.2814444776995,293.68684801227164,296.73886668288884,295.0793047483096,294.17783533049203,272.91403418477034,279.84484270173357,294.99245802312856,282.1593507578215,286.120545809912,286.77891815621587
1875,298.03613585852156,271.7570127287695,293.38822316104114,296.7283940015145,295.01691033174797,294.3456076745858,272.20528407294114,279.81216426819657,294.6858318463122,282.1294964205287,286.0672824199908,286.790818059981
1876,298.1371933576366,271.49993786322966,293.6844209785344,296.9260982608372,294.69801625576645,294.5380877001047,272.5881932421765,279.2676767756624,294.630136907877,281.583615587257,286.098111695821,286.8276891462222
1877,298.4350402041306,271.86731657829336,293.76970806808885,297.00074120026625,294.5615596351319,294.9498310749092,273.13862692664344,279.9438814627293,295.08159624671345,282.13446274016934,286.4331543836812,287.0449336046839
1878,298.7096717062515,271.47815310431844,294.2949030976901,297.4814857218272,294.86884468170905,295.032649210527,273.38291322983173,279.7503376321769,295.1409894861436,281.6647252469025,286.5488521058434,287.06326643750714
1879,298.1736664315508,270.9956117124861,293.6787171845787,296.88758464796655,294.86160495671623,294.1170587705513,272.4282991061701,279.8884420488489,294.9453396948378,282.15530113697713,286.0136868419046,286.7370227221068
1880,297.97460491517967,270.94672216586486,293.61634914136334,296.6867133226293,294.74644871686706,293.91965231044605,272.9301817092972,279.4057124265965,294.712135873605,281.5134068190759,285.9172450517713,286.7200930761747
1881,297.99203009156696,271.1137413783538,293.36421307368136,296.8559908191122,295.04025535020514,294.2353682743638,272.55564486458627,279.1234239672278,294.6335840402866,281.48472139340305,285.939796910485,286.7309208338733
1882,298.1487562283219,271.20244936357204,294.11225575256987,297.02447519546837,294.7525810772241,294.35405425546634,272.38232106519297,279.0446713391867,294.1692345615729,281.85367657832916,286.01601388719007,286.8231812532977
1883,298.385430831751,270.62628189431905,294.05397994083165,297.0516741907777,295.1407632415989,294.6900358350426,272.6117819505612,279.3409304105465,294.85647452907716,282.0508730184529,286.0951404366724,286.9057530957147
1884,298.3523222639952,270.67630664401764,293.7920670114847,296.77279789312286,294.1008130664072,294.71209226194094,272.7831806731184,278.8823684879955,294.8159817570797,281.4331760894243,285.9470436233054,286.80676269543403
1885,298.0942924579556,270.65874352903546,293.4896130490835,296.6094475491314,294.4261861776005,294.21816270453877,272.1512268925043,278.8275246207388,294.8625559608361,280.8743838712515,285.68915139249356,286.53417273041714
1886,297.9310413145573,270.78853741098084,293.39898796407704,296.6051392821477,294.50846829773474,293.99848744739603,271.97951283797266,279.03785907736943,294.49097942800324,281.3336072294216,285.6637361380285,286.5556795232456
1887,297.75413230592926,270.88031277638737,293.3296099246968,296.5290991265091,294.0132523215575,294.298838610023,271.8465412171192,278.6699937059229,293.98716645541504,280.9844689314874,285.5916684802621,286.66915717591854
1888,298.26273179507376,271.7435400596325,292.80624723145945,296.73276698862765,294.0092194695863,294.3443872396965,271.866507229234,278.8996840586346,294.4471900308057,281.6218768217201,285.8384125192444,286.7428730163867
1889,298.82473231119064,271.955502093043,293.39075599251913,297.13661037067874,294.3544665729106,295.16302259910265,272.23150042428875,278.8759951933262,294.88066445873966,281.7201300504758,286.23515361194075,287.0168239218266
1890,299.20454343239084,271.0733171772865,293.7558087323146,297.650184154941,294.7158833347544,295.7832312544723,273.03079841897994,279.0583959647344,295.32219968165,281.73546746982623,286.5107006418737,287.14398868393096
1891,298.4148183021807,271.02039722348917,293.84627684222403,297.0585459008977,294.64794562138275,294.546379118777,272.9029913990753,279.15719116531943,294.505632548071,282.0309111671086,286.1247958135862,286.8091866890584
1892,297.90742187375054,270.7944605020318,293.4583249513518,296.4472465249006,294.3104100945524,293.94424143581614,271.62497913806914,278.95260450825936,294.2860002139349,281.63723850261994,285.5586596744428,286.50236584913006
1893,297.94294609617026,271.2286834276131,293.12674549398776,296.6297258399888,294.7116932505135,294.18036142082394,272.47486226740153,279.2417539726391,294.59627672494435,281.9001656214188,285.8841039228555,286.66814121663174
1894,298.2211978549065,270.79304277315293,293.5029198062674,296.6800057045656,294.3614092553255,294.41216134949366,272.9011071028134,279.8847913913594,294.5340782493051,281.5375956951697,285.9829575127257,286.81435811481276
1895,298.4184686294889,270.9751729249787,293.84836358671197,297.0662565800913,294.2465953113833,294.8083527761199,272.8733669555772,279.8220798391205,295.370078004408,281.92051544276654,286.22240439883007,286.9279533179342
1896,298.6536151638862,270.57305339741833,294.0333090723819,297.30295487815516,294.97324440713953,294.9333409742706,272.81516789460414,279.46016626857227,295.4995866782976,281.12699623147864,286.2079732636759,286.9520257754738
1897,298.2127084265362,271.0311144763284,293.2879915525042,296.92000314428725,294.44517004678767,294.5673648855267,272.6455933034903,279.44559865930484,295.0205384990729,281.74311111247505,286.03882516272705,286.8223967377915
1898,298.0997352040728,271.61499793108555,293.43871324402653,296.6953691479246,294.6695553927058,294.42331271359114,272.08805936675174,279.12011051548797,294.5729518488458,281.76855072739306,285.9444578941308,286.7268414142914
1899,298.2957335693264,271.2686355645295,293.48843646551853,297.0284002896716,294.777533959398,294.7264199296712,272.4832241291078,278.9190318348119,294.14958791505603,281.65485096344565,286.0482133363133,286.84918395603023
1900,298.49392919042174,271.3710830891412,293.50682193514706,296.8565583009699,294.6460492285168,294.66865641168965,273.162674328487,279.4041880860373,294.49837649876866,281.7127706974605,286.184687435375,286.89430165925904
1901,298.55787202782903,272.0284449408939,293.67639019088136,296.8359368456526,294.42147987444645,294.5848737947512,272.4752057516097,279.55036898871276,294.2762704285041,282.0062039432597,286.186550491822,286.8372271679841
