YEARS,SEAP,EEWA,AJNZ,AFRC,MDEA,LAMC,NAMC,EAAS,SOAS,EURO,WORLD,TAS
2006,298.5507693750166,272.2403277873263,294.12702251757673,297.72198003387,295.7735067706268,295.1498668272169,273.8919627425075,280.36125856243444,296.00818438142915,282.8714201459498,286.97995009472436,287.52823290627475
2007,298.5165153766873,272.1816550578737,294.65212387754417,297.5615902358738,295.4380115650095,295.08313915303785,274.3917234847319,280.17390369202224,295.59239723259316,282.42169040301695,286.9709575973477,287.55890814961936
2008,298.8528192456857,272.4779242262795,294.1159021499719,297.791740180901,295.23438392360623,295.3600847346415,274.1281958420554,280.15131459219634,295.35840457016235,282.38364459911594,287.03025945245673,287.58505847831367
2009,299.1606028304736,272.5446689859138,294.6175614294748,298.13461018311665,295.3935303734041,295.9318406393721,274.39599816752246,279.2782165858158,294.9829311766177,283.1254847121133,287.2417093161296,287.7394691717141
2010,299.1143313652125,272.3830410741072,294.9460236454493,298.39975226726057,296.04108986688993,295.94377225895846,274.7304906486383,280.0750379168549,295.8930056577712,282.73251222927536,287.4565775581374,287.79780870148284
2011,298.7607483349188,272.77048213311434,294.41425975278094,298.0545630152078,295.6493144681363,295.4265442895083,273.65095721457374,280.1724055292865,295.5156249042133,282.3676951637318,287.10943229523235,287.60618488643087
2012,298.9085231137526,272.55403344734555,295.0318114338496,298.0286464324184,295.57184616794376,295.7298779662742,274.3686589714875,279.8983448214271,295.09595874784384,282.5282531088058,287.23754073277064,287.75437696819967
2013,299.4448168002398,272.3398282534494,294.9475087800753,298.3532805558684,294.88968543993536,296.85959034850794,275.38619512610154,280.17670047238965,295.5457601467934,282.20461356849665,287.623129099414,288.01097984754097
2014,299.5312496645102,272.387443482322,295.27009366329315,299.03757956648593,296.47274450699877,296.6048338674082,275.15071235143,280.19513399705585,295.8514462667433,282.9860230593639,287.83918409483,288.06867889193546
2015,298.940596851506,273.14881793437945,294.1826781047423,297.74940436999344,295.68364720888746,295.08817135235347,274.3245155733706,280.1339695134011,295.29998974022163,282.8541416846728,287.16122701843125,287.593327354197
2016,298.4876145050648,273.2369060385754,293.9523924437644,297.4211632412499,295.97159500636786,294.8911549904574,273.95380050919334,280.254570662642,295.2143045164211,283.0740973659488,287.0098194057204,287.5036563596014
2017,298.70683693801914,272.37443941980206,294.2548904425601,297.8954706136732,295.8117449776524,295.34001326100076,273.86120697013195,280.4646385627978,295.70792367930795,282.87511455762746,287.0775065815253,287.62037939491324
